;Кол-во;% пропусков;Минимум;Максимум;Среднее;Мощность;% уникальных;Первый квартиль(0.25);Медиана;Второй квартиль(0.75);Стандартное отклонение
Глубина манометра;90;3.225806451612903;3276.0;3670.0;3524.0866666666657;20;22.22222222222222;3427.625;3579.0;3652.25;144.47486169891752
Dшт;93;0.0;6.35;15.88;10.951182795698925;10;10.75268817204301;9.53;11.11;12.7;2.42317248460269
Руст;93;0.0;138.16;337.11;228.29387096774192;87;93.54838709677419;201.64;229.89;252.0;41.89705611304561
Рзаб;90;3.225806451612903;174.0;458.6;331.7622222222222;88;97.77777777777777;297.7975;337.78999999999996;364.15000000000003;56.48122638835036
Рлин;93;0.0;73.31;121.68;99.86107526881722;90;96.7741935483871;95.95;100.8;103.87;7.30070908741443
Руст_2;93;0.0;136.0;333.0;227.64462365591396;73;78.49462365591397;200.0;228.0;252.0;41.757260278880004
Рзаб_2;90;3.225806451612903;174.0;458.5;330.33444444444444;89;98.88888888888889;294.625;334.25;362.15;56.357492869155195
Рлин_2;93;0.0;40.74;123.62;98.00537634408602;87;93.54838709677419;95.34;100.26;104.0;12.425642626994476
Туст;93;0.0;24.2;75.0;56.17204301075269;51;54.83870967741935;50.3;58.0;64.0;11.250781282932792
Тна шлейфе;60;35.483870967741936;14.0;110.2;43.091666666666676;57;95.0;33.3;38.7;46.375;19.60233721508191
Тзаб;90;3.225806451612903;100.21;107.07;104.96133333333334;67;74.44444444444444;104.525;105.11;105.5675;1.250820135445523
Tлин;93;0.0;16.2;55.51;39.79817204301075;89;95.6989247311828;33.69;40.52;47.8;8.937832991210742
Дебит газа;93;0.0;128.37;846.82;394.4027956989247;93;100.0;287.95;383.72;489.67;150.35496790830626
Дебит ст. конд.;93;0.0;33.63;302.62;99.90935483870967;92;98.9247311827957;69.9;89.8;117.6;49.14043716529833
Дебит воды;93;0.0;0.0;8.34;2.133118279569892;69;74.19354838709677;0.7;1.4;3.2;1.875179978895141
Дебит смеси;89;4.301075268817205;136.82;896.91;417.02134831460677;89;100.0;306.24;401.39;509.05;157.74613584224934
Дебит гааз;93;0.0;884.0;6943.1;3282.971075268817;92;98.9247311827957;2223.0;3112.0;4165.0;1353.0436073369378
Дебит кон нестабильный;93;0.0;59.8;492.8;164.15161290322578;90;96.7741935483871;116.8;143.5;185.2;85.2251004219736
Дебит воды_2;93;0.0;0.0;8.1;2.163440860215054;42;45.16129032258064;0.7;1.4;3.3;1.9031315695245539
Нэф;93;0.0;30.0;72.54;52.703118279569885;14;15.053763440860216;44.2;56.8;63.5;12.149382072182021
Рпл. Тек (послед точка на КВД);88;5.376344086021505;29.17;53.27;40.682727272727284;21;23.863636363636363;37.21;39.465;42.86;5.374353043614512
Рпл. Тек (Расчет по КВД);81;12.903225806451612;39.9;56.7;50.9437037037037;18;22.22222222222222;48.3;50.8;55.4;4.378415365301825
Рпл. Тек (Карноухов);64;31.182795698924732;41.6;56.8;50.7734375;13;20.3125;49.425000000000004;50.9;52.7;4.006591481249249
Pсб;93;0.0;85.5;104.0;95.16236559139783;70;75.26881720430107;90.7;94.2;99.8;5.136059942646245
Pсб_2;93;0.0;84.38;102.64;93.9178494623656;70;75.26881720430107;89.51;92.97;98.49;5.06864141163101
Ro_g;23;75.26881720430107;0.7874;0.8243;0.8076043478260869;6;26.08695652173913;0.7874;0.806;0.8213;0.015065658669512113
Ro_c;93;0.0;186.0;801.0;780.8475268817205;25;26.881720430107524;782.0;787.0;793.7;62.795111234109314
Ro_w;23;75.26881720430107;1000.0;1000.0;1000.0;1;4.3478260869565215;1000.0;1000.0;1000.0;0.0
Удельная плотность газа ;93;0.0;0.57;0.6847;0.6653344086021505;12;12.903225806451612;0.66;0.67;0.68;0.0200814563748643
G_total;23;75.26881720430107;2.78;10.93;5.74304347826087;23;100.0;4.385;5.25;6.125;2.113176055958959
КГФ;93;0.0;131.0;385.42;201.7058064516129;72;77.41935483870968;164.0;192.0;224.0;49.25378423604452
